,cat,file,text_sentence_count,text_word_count,summary_sentence_count,summary_word_count,model,rouge_1_p,rouge_1_r,rouge_2_p,rouge_2_r,rouge_L_p,rouge_L_r
0,business,../dataset/NewsArticles/business/289.txt,16,329,7,147,textrank,0.6372549019607843,0.6701030927835051,0.5460992907801419,0.5968992248062015,0.6274509803921569,0.6597938144329897
1,business,../dataset/NewsArticles/business/504.txt,18,457,9,287,textrank,0.7663043478260869,0.7833333333333333,0.6891385767790262,0.7244094488188977,0.7608695652173914,0.7777777777777778
2,business,../dataset/NewsArticles/business/262.txt,33,585,27,484,textrank,0.5575539568345323,0.9064327485380117,0.4897025171624714,0.8262548262548263,0.5575539568345323,0.9064327485380117
3,business,../dataset/NewsArticles/business/276.txt,10,182,4,88,textrank,0.78125,0.847457627118644,0.6707317073170732,0.7534246575342466,0.78125,0.847457627118644
4,business,../dataset/NewsArticles/business/510.txt,7,156,3,77,textrank,0.6666666666666666,0.8837209302325582,0.5142857142857142,0.75,0.6666666666666666,0.8837209302325582
5,business,../dataset/NewsArticles/business/060.txt,8,143,4,83,textrank,0.4927536231884058,0.6181818181818182,0.4125,0.5238095238095238,0.4927536231884058,0.6181818181818182
6,business,../dataset/NewsArticles/business/074.txt,12,260,5,115,textrank,0.7468354430379747,0.8428571428571429,0.7184466019417476,0.7551020408163265,0.7468354430379747,0.8428571428571429
7,business,../dataset/NewsArticles/business/048.txt,12,277,8,190,textrank,0.6,0.8571428571428571,0.49714285714285716,0.8055555555555556,0.5916666666666667,0.8452380952380952
8,business,../dataset/NewsArticles/business/114.txt,19,359,7,197,textrank,0.6370967741935484,0.7669902912621359,0.5193370165745856,0.6308724832214765,0.6370967741935484,0.7669902912621359
9,business,../dataset/NewsArticles/business/100.txt,16,352,7,194,textrank,0.8333333333333334,0.9693877551020408,0.7966101694915254,0.9215686274509803,0.8245614035087719,0.9591836734693877
