,cat,file,text_sentence_count,text_word_count,summary_sentence_count,summary_word_count,model,rouge_1_p,rouge_1_r,rouge_2_p,rouge_2_r,rouge_L_p,rouge_L_r
204,sport,../dataset/NewsArticles/sport/204.txt,9,223,5,148,cbow,0.845360824742268,0.9879518072289156,0.7928571428571428,0.9910714285714286,0.845360824742268,0.9879518072289156
205,sport,../dataset/NewsArticles/sport/210.txt,36,591,15,253,cbow,0.7228915662650602,0.8053691275167785,0.6349206349206349,0.7373271889400922,0.7228915662650602,0.8053691275167785
206,sport,../dataset/NewsArticles/sport/006.txt,7,153,5,113,cbow,0.6588235294117647,0.9824561403508771,0.5961538461538461,0.9841269841269841,0.6588235294117647,0.9824561403508771
207,sport,../dataset/NewsArticles/sport/012.txt,12,232,7,149,cbow,0.7346938775510204,0.9863013698630136,0.6397058823529411,0.9560439560439561,0.7346938775510204,0.9863013698630136
208,sport,../dataset/NewsArticles/sport/172.txt,18,347,9,187,cbow,0.7117117117117117,0.7669902912621359,0.510989010989011,0.6241610738255033,0.7117117117117117,0.7669902912621359
209,sport,../dataset/NewsArticles/sport/166.txt,21,339,10,195,cbow,0.7878787878787878,0.9122807017543859,0.712707182320442,0.8716216216216216,0.7878787878787878,0.9122807017543859
210,sport,../dataset/NewsArticles/sport/358.txt,23,484,11,265,cbow,0.7951807228915663,0.88,0.7071129707112971,0.8086124401913876,0.7891566265060241,0.8733333333333333
211,sport,../dataset/NewsArticles/sport/416.txt,31,746,14,374,cbow,0.7557603686635944,0.784688995215311,0.6526946107784432,0.7077922077922078,0.7557603686635944,0.784688995215311
212,sport,../dataset/NewsArticles/sport/370.txt,17,329,8,160,cbow,0.8673469387755102,0.9883720930232558,0.7972027972027972,0.9421487603305785,0.8673469387755102,0.9883720930232558
213,sport,../dataset/NewsArticles/sport/364.txt,37,809,16,410,cbow,0.8045454545454546,0.8509615384615384,0.7150684931506849,0.7885196374622356,0.8045454545454546,0.8509615384615384
214,sport,../dataset/NewsArticles/sport/402.txt,10,246,5,159,cbow,0.5636363636363636,0.7848101265822784,0.4863013698630137,0.7171717171717171,0.5636363636363636,0.7848101265822784
215,sport,../dataset/NewsArticles/sport/365.txt,20,365,9,212,cbow,0.7835820895522388,0.9210526315789473,0.6979166666666666,0.881578947368421,0.7835820895522388,0.9210526315789473
216,sport,../dataset/NewsArticles/sport/403.txt,28,609,13,308,cbow,0.9411764705882353,0.9142857142857143,0.8489208633093526,0.8708487084870848,0.9411764705882353,0.9142857142857143
217,sport,../dataset/NewsArticles/sport/417.txt,13,235,7,156,cbow,0.8715596330275229,0.9895833333333334,0.7943262411347518,0.9491525423728814,0.8715596330275229,0.9895833333333334
218,sport,../dataset/NewsArticles/sport/371.txt,54,1730,23,744,cbow,0.8632218844984803,0.9015873015873016,0.8168316831683168,0.853448275862069,0.8601823708206687,0.8984126984126984
219,sport,../dataset/NewsArticles/sport/359.txt,19,389,9,190,cbow,0.8347107438016529,0.8938053097345132,0.7555555555555555,0.8395061728395061,0.8347107438016529,0.8938053097345132
220,sport,../dataset/NewsArticles/sport/167.txt,7,140,4,98,cbow,0.75,0.9827586206896551,0.6494845360824743,0.9692307692307692,0.75,0.9827586206896551
221,sport,../dataset/NewsArticles/sport/173.txt,10,154,5,107,cbow,0.875,0.9859154929577465,0.83,0.9540229885057471,0.875,0.9859154929577465
222,sport,../dataset/NewsArticles/sport/198.txt,12,231,6,131,cbow,0.594059405940594,0.6976744186046512,0.496,0.5904761904761905,0.5841584158415841,0.686046511627907
223,sport,../dataset/NewsArticles/sport/013.txt,17,326,8,187,cbow,0.6722689075630253,0.8163265306122449,0.5652173913043478,0.7222222222222222,0.6722689075630253,0.8163265306122449
224,sport,../dataset/NewsArticles/sport/007.txt,6,133,4,91,cbow,0.5211267605633803,0.74,0.4166666666666667,0.6481481481481481,0.5211267605633803,0.74
